"time: 56.763479, num_collisions: 48, num_errors: 0"
"x_m, y_m"
38.14111273455623,-18.815674523932447
37.82051022897687,-18.314447790777905
37.6594216332919,-18.09058797567894
37.390476160922,-17.561776116951098
37.287577426438034,-17.225265350710913
36.931311024109604,-16.994372361244157
37.390649682272425,-16.661596617351652
37.056816131165405,-16.28037449298865
36.81364671445075,-15.843341413930085
36.94556961492869,-15.374887075209275
36.896615088974585,-15.122339825263259
36.61144498519022,-14.667614522447323
36.589774670603,-14.36490182123158
36.692770788910146,-14.065423906184474
36.96941126819118,-13.609093852439795
36.726790370973866,-13.193096331973493
36.87031852566837,-12.71008175530542
37.106351568764275,-12.459806714060086
37.33944097949661,-12.005952239259551
37.23709883651112,-11.77282796661586
37.20082325142814,-11.31452830069663
37.539172076789534,-11.057081328206696
37.83124055028034,-10.578052556380085
37.51673123668591,-10.382449820563316
